rank,dx,dy,power,approx_period_px
1,22,-62,0.0015119425314099768,1.9456572809935413
2,-22,62,0.0015119425314099766,1.9456572809935413
3,22,62,0.0007856092502314688,1.9456572809935413
4,-22,-62,0.0007856092502314687,1.9456572809935413
5,-22,22,0.0007103255412510278,4.11407581781264
6,22,-22,0.0007103255412510277,4.11407581781264
7,44,0,0.0006232643925487895,2.909090909090909
8,-44,0,0.0006232643925487895,2.909090909090909
9,-1,-4,0.000617142455932088,31.04456000465062
10,1,4,0.0006171424559320877,31.04456000465062
11,44,-44,0.00046780097418557806,2.05703790890632
12,-44,44,0.000467800974185578,2.05703790890632
13,22,22,0.0004248723903280493,4.11407581781264
14,-22,-22,0.0004248723903280492,4.11407581781264
15,-62,62,0.0003055080049494908,1.4598333547077111
16,62,-62,0.0003055080049494908,1.4598333547077111
17,0,-44,0.00030433911090605717,2.909090909090909
18,0,44,0.0003043391109060571,2.909090909090909
19,62,22,0.0002929616902899632,1.9456572809935413
20,-62,-22,0.00029296169028996316,1.9456572809935413
21,40,0,0.00024741335416449134,3.2
22,-40,0,0.0002474133541644913,3.2
23,62,0,0.00018949138050211,2.064516129032258
24,-62,0,0.00018949138050211,2.064516129032258
25,-44,20,0.00017408033121942256,2.6483388435275774
26,44,-20,0.0001740803312194225,2.6483388435275774
27,62,-22,0.00017398871439667872,1.9456572809935413
28,-62,22,0.00017398871439667872,1.9456572809935413
29,-44,24,0.0001727403058581392,2.553878030296391
30,44,-24,0.00017274030585813917,2.553878030296391
31,44,24,0.00017120831154910737,2.553878030296391
32,-44,-24,0.00017120831154910737,2.553878030296391
33,0,-40,0.00016821836190115667,3.2
34,0,40,0.00016821836190115665,3.2
35,44,44,0.00016604364368385898,2.05703790890632
36,-44,-44,0.00016604364368385898,2.05703790890632
37,0,62,0.00016591836876954204,2.064516129032258
38,0,-62,0.00016591836876954204,2.064516129032258
39,-44,11,0.00015405603160588733,2.8222327276955106
40,44,-11,0.0001540560316058873,2.8222327276955106
41,-44,-20,0.00015003915716107574,2.6483388435275774
42,44,20,0.00015003915716107572,2.6483388435275774
43,-62,-62,0.00014976398063960998,1.4598333547077111
44,62,62,0.00014976398063960998,1.4598333547077111
45,4,-13,0.000146850229401307,9.410747162800739
46,-4,13,0.00014685022940130697,9.410747162800739
47,0,51,0.00013545335922673417,2.5098039215686274
48,0,-51,0.0001354533592267341,2.5098039215686274
49,51,0,0.0001349521226449187,2.5098039215686274
50,-51,0,0.0001349521226449187,2.5098039215686274
