rank,dx,dy,power,approx_period_px
1,19,-29,310333.03384387644,44.303596380500046
2,-19,29,310333.0338438763,44.303596380500046
3,13,-29,235976.15555130216,48.33152836051604
4,-13,29,235976.15555130204,48.33152836051604
5,5,16,223965.0193247378,91.63007789136284
6,-5,-16,223965.0193247378,91.63007789136284
7,-6,-32,221275.28829158473,47.17786497284745
8,6,32,221275.28829158473,47.17786497284745
9,31,29,213934.02554285407,36.1837706827427
10,-31,-29,213934.025542854,36.1837706827427
11,57,29,213910.75261053754,24.017597460509265
12,-57,-29,213910.75261053746,24.017597460509265
13,7,-33,210720.40660314966,45.53235200476817
14,-7,33,210720.40660314966,45.53235200476817
15,40,-48,206641.6319734027,24.583080947116027
16,-40,48,206641.63197340263,24.583080947116027
17,18,31,203441.44033893468,42.84889748364831
18,-18,-31,203441.44033893463,42.84889748364831
19,12,-39,201784.8169974106,37.642988651202955
20,-12,39,201784.81699741058,37.642988651202955
21,-24,45,199023.1255283982,30.11764705882353
22,24,-45,199023.1255283982,30.11764705882353
23,31,-51,195346.05401892273,25.736190237254043
24,-31,51,195346.05401892262,25.736190237254043
25,-33,41,194633.26756522647,29.184437769849847
26,33,-41,194633.26756522642,29.184437769849847
27,-21,42,193606.57461236647,32.710480127996924
28,21,-42,193606.57461236644,32.710480127996924
29,-2,9,189589.84893820464,166.60259160472793
30,2,-9,189589.84893820458,166.60259160472793
31,25,-37,189537.97605450798,34.3976393489195
32,-25,37,189537.97605450786,34.3976393489195
33,7,-20,188810.88989083492,72.48832176891014
34,-7,20,188810.88989083492,72.48832176891014
35,26,43,183490.78001176953,30.567542483250868
36,-26,-43,183490.7800117694,30.567542483250868
37,-68,14,183328.26600730018,22.12420615356201
38,68,-14,183328.26600730003,22.12420615356201
39,15,44,181173.6653033452,33.04181020550539
40,-15,-44,181173.6653033451,33.04181020550539
41,14,-19,179158.8847282297,65.0824087460407
42,-14,19,179158.88472822963,65.0824087460407
43,-88,0,175489.5102941721,17.454545454545453
44,88,0,175489.5102941721,17.454545454545453
45,-7,47,166945.76288853041,32.324308792052584
46,7,-47,166945.76288853041,32.324308792052584
47,17,-24,166039.61999179755,52.22556679050593
48,-17,24,166039.6199917975,52.22556679050593
49,9,-41,165697.05471434677,36.59217831980521
50,-9,41,165697.05471434677,36.59217831980521
51,5,41,164943.44268243143,37.18790409555142
52,-5,-41,164943.44268243143,37.18790409555142
53,28,-20,163427.7576395551,44.63909327762661
54,-28,20,163427.75763955503,44.63909327762661
55,28,-40,163161.49072082748,31.458505747931156
56,-28,40,163161.49072082737,31.458505747931156
57,-12,65,161366.49663022542,23.23807737038123
58,12,-65,161366.49663022542,23.23807737038123
59,-43,74,160540.9979335947,17.946815626352212
60,43,-74,160540.99793359468,17.946815626352212
