rank,dx,dy,power,approx_period_px
1,-32,0,0.0021030310800493465,2.0
2,0,5,0.0013005242505460962,12.8
3,0,-5,0.001300524250546096,12.8
4,4,-1,0.001055744553453052,15.52228000232531
5,-4,1,0.0010557445534530518,15.52228000232531
6,16,16,0.0010160759023495752,2.82842712474619
7,-16,-16,0.0010160759023495752,2.82842712474619
8,31,0,0.0009042967052854033,2.064516129032258
9,28,-4,0.0008218078365738403,2.262741699796952
10,-28,4,0.0008218078365738402,2.262741699796952
11,0,-9,0.0008132612792778316,7.111111111111111
12,0,9,0.0008132612792778315,7.111111111111111
13,-16,16,0.0007982797657036671,2.82842712474619
14,16,-16,0.0007982797657036671,2.82842712474619
15,-4,-4,0.000789090525065634,11.31370849898476
16,4,4,0.000789090525065634,11.31370849898476
17,16,0,0.0007721273914178928,4.0
18,-16,0,0.0007721273914178928,4.0
19,28,4,0.0005978753754215206,2.262741699796952
20,-28,-4,0.0005978753754215206,2.262741699796952
21,8,-24,0.0004941922766616058,2.5298221281347035
22,-8,24,0.0004941922766616058,2.5298221281347035
23,8,24,0.0004783273420849639,2.5298221281347035
24,-8,-24,0.0004783273420849639,2.5298221281347035
25,0,-19,0.0004612159615378528,3.3684210526315788
26,0,19,0.0004612159615378528,3.3684210526315788
27,-24,24,0.000457213270689822,1.885618083164127
28,24,-24,0.000457213270689822,1.885618083164127
29,0,-24,0.00041790592703874155,2.6666666666666665
30,0,24,0.00041790592703874155,2.6666666666666665
31,-24,8,0.0004151773661450793,2.5298221281347035
32,24,-8,0.0004151773661450793,2.5298221281347035
33,4,-20,0.0003816601179049341,3.1378581622109447
34,-4,20,0.0003816601179049341,3.1378581622109447
35,-20,12,0.00031379006377617004,2.743977362280141
36,20,-12,0.00031379006377617004,2.743977362280141
37,20,-20,0.0002814432963256877,2.262741699796952
38,-20,20,0.00028144329632568766,2.262741699796952
39,-20,-20,0.0002546447825197218,2.262741699796952
40,20,20,0.00025464478251972176,2.262741699796952
41,4,-28,0.00024871655668629424,2.262741699796952
42,-4,28,0.00024871655668629424,2.262741699796952
43,24,24,0.00024194187664522548,1.885618083164127
44,-24,-24,0.00024194187664522548,1.885618083164127
45,-12,-4,0.00022078267555854478,5.059644256269407
46,12,4,0.00022078267555854475,5.059644256269407
47,-32,8,0.00020201410256871536,1.9402850002906638
48,-32,-8,0.00020201410256871536,1.9402850002906638
49,12,-20,0.00020035279509286722,2.743977362280141
50,-12,20,0.00020035279509286722,2.743977362280141
51,-32,16,0.0001930794989912934,1.7888543819998317
52,-32,-16,0.0001930794989912934,1.7888543819998317
53,16,-8,0.00018202198100710724,3.5777087639996634
54,-16,8,0.00018202198100710724,3.5777087639996634
55,-4,-20,0.0001770749180674173,3.1378581622109447
56,4,20,0.00017707491806741725,3.1378581622109447
57,0,-32,0.00017372168301896756,2.0
58,31,-8,0.00016933079622109752,1.9990241521741576
59,-24,-8,0.0001665595384896146,2.5298221281347035
60,24,8,0.0001665595384896146,2.5298221281347035
