band,scale,energy,energy_fraction
approx,4,203572817.41549727,0.07530067991437704
H,4,32400403.564520497,0.011984765200399825
V,4,92927752.36730242,0.03437356236953096
D,4,23803459.91872593,0.008804793974709879
H,3,43916585.18131706,0.016244549570295842
V,3,156391815.31186587,0.05784863704072647
D,3,44189725.05690706,0.01634558279567817
H,2,112143852.64014748,0.04148151241030062
V,2,286787434.8144189,0.10608139685147305
D,2,126334405.45933619,0.04673053479556749
H,1,416478238.49091375,0.15405344842233576
V,1,759736763.588785,0.28102325045401055
D,1,404782606.61776483,0.14972728620059442
