rank,dx,dy,power,approx_period_px
1,-34,14,36267819242.51733,41.77369291932835
2,34,-14,36267819242.51732,41.77369291932835
3,9,-27,35396337672.74245,53.96953873354034
4,-9,27,35396337672.74245,53.96953873354034
5,45,4,34149725878.97129,33.99927946897703
6,-45,-4,34149725878.97129,33.99927946897703
7,-16,-7,33659001125.29486,87.95110415061016
8,16,7,33659001125.29485,87.95110415061016
9,-36,-8,32162791938.52757,41.65064790118198
10,36,8,32162791938.52755,41.65064790118198
11,-50,-1,32130350250.152042,30.713857842585817
12,50,1,32130350250.152042,30.713857842585817
13,-44,9,31620498948.826954,34.20095763604592
14,44,-9,31620498948.826946,34.20095763604592
15,14,-11,28632080474.02519,86.27035488794579
16,-14,11,28632080474.02519,86.27035488794579
17,34,12,28578529118.38186,42.6009750700976
18,-34,-12,28578529118.38185,42.6009750700976
19,23,13,26217658410.412525,58.13845740322288
20,-23,-13,26217658410.412525,58.13845740322288
21,-31,20,25806055914.88855,41.635343602336754
22,31,-20,25806055914.88855,41.635343602336754
23,28,1,25623951788.63414,54.82219086706557
24,-28,-1,25623951788.634132,54.82219086706557
25,41,5,25605743378.391415,37.18790409555142
26,-41,-5,25605743378.391415,37.18790409555142
27,30,-7,24871233885.73717,49.860669938779814
28,-30,7,24871233885.737164,49.860669938779814
29,-9,-2,24755274123.053604,166.60259160472793
30,9,2,24755274123.053604,166.60259160472793
31,27,-16,24336631167.65394,48.94102946896636
32,-27,16,24336631167.65392,48.94102946896636
33,-57,14,23776259105.635002,26.169570957925842
34,57,-14,23776259105.635002,26.169570957925842
35,80,-1,23557666471.067966,19.198500175758365
36,-80,1,23557666471.067955,19.198500175758365
37,25,-10,23368252004.28803,57.045607887990336
38,-25,10,23368252004.288017,57.045607887990336
39,-20,21,23214600605.509033,52.96551724137931
40,20,-21,23214600605.509014,52.96551724137931
41,8,-18,23211697058.417553,77.97858548226195
42,-8,18,23211697058.417553,77.97858548226195
43,72,4,22889827641.21878,21.3004875350488
44,-72,-4,22889827641.21878,21.3004875350488
45,-42,-18,22877729475.350574,33.61444681208897
46,42,18,22877729475.350567,33.61444681208897
47,40,-15,22716272263.449352,35.95504041865131
48,-40,15,22716272263.449352,35.95504041865131
49,27,12,22386963932.156727,51.985723654841294
50,-27,-12,22386963932.156727,51.985723654841294
51,-40,9,22358523560.391827,37.46341463414634
52,40,-9,22358523560.391827,37.46341463414634
53,26,18,21989988099.344547,48.57258486018631
54,-26,-18,21989988099.344547,48.57258486018631
55,-34,-22,21893368039.605236,37.928816511344245
56,34,22,21893368039.605225,37.928816511344245
57,18,-9,21595251695.50999,76.32445363199282
58,-18,9,21595251695.50999,76.32445363199282
59,-13,-1,21547698485.43186,117.80582228695609
60,13,1,21547698485.43186,117.80582228695609
61,-19,28,21463605309.995045,45.3929567666336
62,19,-28,21463605309.995037,45.3929567666336
63,-6,-8,21375947868.04981,153.6
64,6,8,21375947868.04981,153.6
65,61,6,21242508387.427143,25.05939710005741
66,-61,-6,21242508387.427135,25.05939710005741
67,-38,-19,21206194115.087284,36.153688562522916
68,38,19,21206194115.087284,36.153688562522916
69,90,-2,20687084632.902725,17.06245423499281
70,-90,2,20687084632.902714,17.06245423499281
71,-85,1,19769945368.179596,18.06933780535557
72,85,-1,19769945368.17959,18.06933780535557
73,13,12,19676052889.22634,86.81985314983243
74,-13,-12,19676052889.22633,86.81985314983243
75,61,-1,19571079390.461544,25.17694500756644
76,-61,1,19571079390.461536,25.17694500756644
77,-18,-3,19226536117.87725,84.17228150034293
78,18,3,19226536117.877243,84.17228150034293
79,36,-8,18717568832.969604,41.65064790118198
80,-36,8,18717568832.969585,41.65064790118198
